Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
World,all_energy_types,2000,402.3787223886808,399.8552158428318,66398.356393,6141880.59902,0.0655139278436778,6.060070523539365,23494.916283117
World,coal,2000,98.65762994538656,96.35223567253496,66398.356393,6141880.59902,0.016063097996585673,6.060070523539365,8901.519950071843
World,natural_gas,2000,89.60485067943,89.284232201125,66398.356393,6141880.59902,0.014589155428017826,6.060070523539365,4571.850603326
World,petroleum_n_other_liquids,2000,156.6662310775443,156.3524197410136,66398.356393,6141880.59902,0.025507860101113333,6.060070523539365,10021.545729717078
Afghanistan,all_energy_types,2000,0.0201780618531999,0.0117067094435683,20.5799,20780.0,0.0009710328129547593,0.9804742420128336,1.25314859
Afghanistan,coal,2000,2.0833993199919235e-05,1.9792293568357757e-05,20.5799,20780.0,1.002598325308914e-06,0.9804742420128336,0.0019438115655524
Afghanistan,natural_gas,2000,0.00850420515,0.00850420515,20.5799,20780.0,0.0004092495259865255,0.9804742420128336,0.451204778
Afghanistan,petroleum_n_other_liquids,2000,0.0081291107099999,0.0,20.5799,20780.0,0.000391198782964384,0.9804742420128336,0.8
Albania,all_energy_types,2000,0.0980373559405912,0.0608318380883124,17.9665,3129.25,0.03132934599044218,5.456675253421156,2.926686734
Albania,coal,2000,0.0010978101092191,0.0002798805846087,17.9665,3129.25,0.0003508221168711672,5.456675253421156,0.0875639583462573
Albania,natural_gas,2000,0.0011060658,0.0011060658,17.9665,3129.25,0.00035346034992410325,5.456675253421156,0.039122776
Albania,petroleum_n_other_liquids,2000,0.045761196031372,0.0130517437037036,17.9665,3129.25,0.014623694505511545,5.456675253421156,2.8
Algeria,all_energy_types,2000,1.2741409095164264,6.190571221848181,277.759,31042.2,0.04104544489489877,4.587217370153358,70.688902551
Algeria,coal,2000,0.0161948287457195,0.0,277.759,31042.2,0.0005217036403901624,4.587217370153358,1.6895217443985149
Algeria,natural_gas,2000,0.8182881028,3.3129524162,277.759,31042.2,0.026360506111035943,4.587217370153358,44.999380807
Algeria,petroleum_n_other_liquids,2000,0.4381881000679939,2.877078152648181,277.759,31042.2,0.014115884185656747,4.587217370153358,24.0
American Samoa,all_energy_types,2000,0.0078371031199999,0.0,,57.821,0.13554077445910484,0.0,0.562878562
American Samoa,coal,2000,0.0,0.0,,57.821,0.0,0.0,0.0
American Samoa,natural_gas,2000,0.0,0.0,,57.821,0.0,0.0,0.0
American Samoa,petroleum_n_other_liquids,2000,0.0078371031199999,0.0,,57.821,0.13554077445910484,0.0,0.5628785621348409
Angola,all_energy_types,2000,0.1107173657809459,1.6224072985306923,70.7766,16395.5,0.0067529118222040135,1.564321622979147,5.698585546
Angola,coal,2000,0.0,0.0,70.7766,16395.5,0.0,1.564321622979147,0.0
Angola,natural_gas,2000,0.02107563885,0.02107563885,70.7766,16395.5,0.0012854526455429844,1.564321622979147,1.098585546
Angola,petroleum_n_other_liquids,2000,0.0804302239309459,1.5921201566806922,70.7766,16395.5,0.004905628003473264,1.564321622979147,4.6
Antigua and Barbuda,all_energy_types,2000,0.0072893021299999,0.0,1.41604,76.007,0.09590303695712105,5.147666824383488,0.5
Antigua and Barbuda,coal,2000,0.0,0.0,1.41604,76.007,0.0,5.147666824383488,0.0
Antigua and Barbuda,natural_gas,2000,0.0,0.0,1.41604,76.007,0.0,5.147666824383488,0.0
Antigua and Barbuda,petroleum_n_other_liquids,2000,0.0072893021299999,0.0,1.41604,76.007,0.09590303695712105,5.147666824383488,0.5
Argentina,all_energy_types,2000,2.753287393941842,3.490954098003505,601.221,36921.7,0.07457098112876281,4.579493054869744,139.373299261
Argentina,coal,2000,0.0287272355844662,0.0058007663756807,601.221,36921.7,0.0007780583121705177,4.579493054869744,3.012014386290295
Argentina,natural_gas,2000,1.22558765175,1.38058518675,601.221,36921.7,0.03319423676997538,4.579493054869744,63.361284875
Argentina,petroleum_n_other_liquids,2000,1.126806919147422,1.7366326191378247,601.221,36921.7,0.0305188254914433,4.579493054869744,73.0
Armenia,all_energy_types,2000,0.1002271070482055,0.034304848,10.7777,3069.6,0.032651520409240783,9.299489413159169,7.743406613
Armenia,coal,2000,5.9609568205547214e-05,0.0,10.7777,3069.6,1.941932766664947e-05,9.299489413159169,0.0127363369196757
Armenia,natural_gas,2000,0.05213447505,0.0,10.7777,3069.6,0.016984126612587958,9.299489413159169,2.530670276
Armenia,petroleum_n_other_liquids,2000,0.01514415443,0.0,10.7777,3069.6,0.004933592139040917,9.299489413159169,5.2
Aruba,all_energy_types,2000,0.01507269095,0.0,2.96548,90.866,0.16587822672946978,5.082715428868177,0.9
Aruba,coal,2000,0.0,0.0,2.96548,90.866,0.0,5.082715428868177,0.0
Aruba,natural_gas,2000,0.0,0.0,2.96548,90.866,0.0,5.082715428868177,0.0
Aruba,petroleum_n_other_liquids,2000,0.01507269095,0.0,2.96548,90.866,0.16587822672946978,5.082715428868177,0.9
Australia,all_energy_types,2000,4.798319763298298,9.639283804942345,718.054,19057.72,0.2517782695568146,6.682394030669417,349.08021863
Australia,coal,2000,2.0241062029708856,6.627983035523831,718.054,19057.72,0.10620925288916436,6.682394030669417,192.7655291325817
Australia,natural_gas,2000,0.84955254293,1.250564220815,718.054,19057.72,0.04457786885996856,6.682394030669417,42.933256025
Australia,petroleum_n_other_liquids,2000,1.748792672430486,1.5830147266035124,718.054,19057.72,0.09176295340840804,6.682394030669417,113.381433472
